Time (s),Temperature (°C),Radiation Level (µSv/h),Lunar Dust Activity (0-100),Magnetic Field Variation (nT)
0,64.64198465804853,215.19658215905997,23.282120798530144,2.0743668196529965
1,65.31322276988332,231.46186085701697,13.813713542780357,0.4289572715393792
2,53.67773011750863,227.5808694505201,25.62038158502013,-4.287743745152726
3,53.34035315555946,225.9022125318675,29.257227576340988,0.20786408502758608
4,65.38339420573055,219.51544881150207,12.771608453019127,-26.879657894448542
5,63.841850259930894,221.63832450824958,24.92906017218978,-14.63212907218909
6,59.491518019966634,215.01713035408343,11.682329345460298,22.79746971964085
7,55.99520762139921,235.02864383645442,15.667867702274709,12.735999406367176
8,50.29292177461254,216.44677178162215,25.323392047048543,-18.588655486933185
9,59.90859798104448,212.6136624109023,17.290673275805602,7.5002357203306875
10,59.45598227851476,231.96418988948676,11.527392514261168,2.625911501145791
11,56.4346922756016,221.95703100183255,12.275680365403991,-9.883126195285346
12,66.28162684410407,231.2606654888445,29.056900134085662,-25.388038506346383
13,61.98451656242544,229.2233848835011,12.652720364553495,-5.6804734595326725
14,60.01715328452879,207.23428681723988,12.615269479408411,12.111711135768754
15,59.15801250312681,207.5676806955866,18.43742603899776,5.876105978047129
16,63.38321677068607,225.33869330870863,13.218232580853968,-9.790112272694252
17,66.87603183503508,223.54040612707632,13.995681585163993,18.88924702654768
18,63.33136174699132,230.44945909642462,25.39862317300912,-2.4359764943633033
19,61.10024606566001,222.58038711654268,23.208271578980614,-5.943011839632272
20,57.955487532089634,227.3734115596228,29.92379046582421,6.500059734192096
21,56.36846622944029,227.40219151833873,10.779014079409135,1.6093434273123381
22,58.28835872115976,204.1569048844484,15.816849706582513,10.94099351480684
23,66.82479218743738,213.5674039071595,23.87542463298489,3.6971639964639023
24,60.910887949379735,226.98825156880125,22.784998829972395,-1.6097102350727663
25,57.656133604338606,208.8985816690256,16.65716892828209,6.381674330236598
26,61.188740461564976,238.44527126350718,15.648149895879484,15.029826452207281
27,59.22000109498401,207.5217706757018,26.254637899535773,-12.282749282972148
28,57.531111559395164,218.09020725604196,16.68195446394823,8.131378439059581
29,64.166264587305,215.54161387013937,16.308135538022594,0.4741251980424255
30,59.72034870256998,232.53939604341227,15.19827756238409,-20.10590948348978
31,64.33187643365987,222.45991262891127,29.61855270120897,7.135889654776403
32,64.90280363904517,225.7242395858394,13.741812505654448,12.24297455888082
33,67.07541502833918,213.80360368283414,12.86523503180197,5.711886810728549
34,63.60939667486273,219.28673988661768,20.235738811657527,15.065501901976535
35,62.527947066269554,246.3802104042271,25.916807271217102,-10.517213644612873
36,56.43764833257943,223.11860387645606,17.69043834425387,1.032500203404132
37,60.961723756853885,227.87892763296833,14.601110597634007,-19.02653299146248
38,60.54509669174684,205.5411914299721,24.16076829181798,5.471189337604949
39,57.59474953411596,217.07153462602335,29.778025400949147,4.025369776258703
40,66.21318747608429,224.58661534806245,11.006436378645045,-5.121769397017985
41,56.03386127205872,222.37274447220187,18.02780640368251,-8.874888066746975
42,53.245397407254025,214.20887488044386,17.938979386963656,-7.12296383086826
43,64.23885504128619,220.75104719483315,25.18037723107823,-13.154493697810715
44,52.418263086517356,208.28728334011086,17.36015163807111,13.4855677867759
45,60.88098482431115,211.56691358060743,20.65923681515466,-9.45787835508308
46,67.99540684171846,218.34619290628765,29.32993348639332,-8.238167382512597
47,57.33871976860071,222.1732677212891,15.69680391067841,10.37851193560212
48,58.28901108596806,197.76838776792187,19.961168020415094,-2.373490413714842
49,59.01455954439065,238.15247584507364,23.532678266787997,-19.232197426110613
50,59.6287284226634,219.33673855563416,15.76624971687945,2.0247006712745943
51,60.434852449389076,214.4353422259553,14.526015304047945,-9.510602236821688
52,62.84347414237967,219.81761909859532,22.54194618704108,-6.014608924421859
53,62.708818780975584,233.01030492690361,20.952678684765264,14.098876934630233
54,53.57295859275338,233.98884513425264,25.98188024360657,16.59706517285304
55,59.16500219117323,213.16267000381131,19.4879995216491,15.275769013554697
56,51.43260371538938,225.37671184609178,22.91272454515905,6.117678962143416
57,60.838716915838816,214.74261324118766,22.25384635716521,-2.868288232360885
58,56.244370421791494,227.39296174726937,17.640872308079025,-14.091091813293733
59,65.29472881284151,240.9575018305074,17.93964136373161,-3.9471063781216946
60,60.94449987321173,224.09396448432616,19.6969752742085,2.4052884550283284
61,58.36360623166625,214.7622673760025,10.28679585353117,9.356207782949687
62,60.48679891602955,213.59327660752103,18.783766469495248,12.96014993835005
63,56.64306639081771,222.0947980743879,28.731014003799476,-10.232162553743173
